apn_stripped,year,sold_date,certificate_number,tsi_tax_amount,tsi_tax_penalty,tsi_costs,tsi_fee,tsi_total_sold,extension_date,ssi_tax_amount,ssi_penalty,ssi_costs,ssi_back_tax_drainage,ssi_total,total_due,fips
1514351026,2022,10/31/2022,202201229,3652.06,191.73,104.00,90.50,3947.79,05/01/2025,0.00,0.00,0.00,0.00,0.00,4038.29,11723
1514426009,2022,10/31/2022,202201238,2211.46,116.10,104.00,90.50,2431.56,05/01/2025,0.00,0.00,0.00,0.00,0.00,2522.06,11723
1516352007,2022,10/31/2022,202201277,1628.10,85.47,104.00,90.50,1817.57,05/01/2025,0.00,0.00,0.00,0.00,0.00,1908.07,11723
1517256058,2022,10/31/2022,202201306,1969.70,103.41,104.00,90.50,2177.11,05/01/2025,0.00,0.00,0.00,0.00,0.00,2267.61,11723
1521408052,2022,10/31/2022,202201387,7775.40,408.21,104.00,90.50,8287.61,05/01/2025,0.00,0.00,0.00,0.00,0.00,8378.11,11723
1522280010,2022,10/31/2022,202201406,2449.66,128.60,104.00,90.50,2682.26,05/01/2025,0.00,0.00,0.00,0.00,0.00,2772.76,11723
1522312044,2022,10/31/2022,202201411,2897.41,86.92,104.00,90.50,3088.33,05/01/2025,0.00,0.00,0.00,0.00,0.00,3178.83,11723
1522479008,2021,11/1/2021,202101371,2601.04,136.56,104.00,89.73,2841.6,05/01/2024,0.00,0.00,0.00,0.00,0.00,2931.33,11723
1524152031,2022,10/31/2022,202201516,1760.27,52.81,104.00,90.50,1917.08,05/01/2025,0.00,0.00,0.00,0.00,0.00,2007.58,11723
1524176006,2022,10/31/2022,202201520,2718.60,142.73,104.00,134.14,2965.33,05/01/2025,0.00,0.00,0.00,0.00,0.00,3099.47,11723
1526101003,2022,10/31/2022,202201556,1604.58,84.24,104.00,90.50,1792.82,05/01/2025,0.00,0.00,0.00,0.00,0.00,1883.32,11723
